relation_id,source_draft_id,subject_ref,subject_type,predicate_id,object_ref,object_type,condition,evidence_requirement,owner_scope,body_proposition_ref,w7_required_relation_ref,relation_status
RDH-SEM-V4_2-CONTENT-METHOD-001-01,SEM-V4_2-CONTENT-METHOD-001,SEM-V4_2-CONTENT-METHOD-001:block:definition,type_specific_block_ref,selects_story_problem_type,SEM-V4_2-CONTENT-METHOD-001:block:differentiation_mechanism,body_block_ref,general_knowledge 条目使用 definition 判断后才引用,story_method_reference_type,creative_content_operating,definition,story_arc -> required_proof_intensity,design_hint_not_ontology_edge
RDH-SEM-V4_2-CONTENT-METHOD-001-02,SEM-V4_2-CONTENT-METHOD-001,SEM-V4_2-CONTENT-METHOD-001:block:differentiation_mechanism,type_specific_block_ref,separates_anchor_from_slogan,SEM-V4_2-CONTENT-METHOD-001:block:applicable_conditions,body_block_ref,general_knowledge 条目使用 differentiation_mechanism 判断后才引用,organization_process_or_capability_explainer_type,creative_content_operating,differentiation_mechanism,story_arc -> compatible_value_expression,design_hint_not_ontology_edge
RDH-SEM-V4_2-CONTENT-METHOD-002-01,SEM-V4_2-CONTENT-METHOD-002,SEM-V4_2-CONTENT-METHOD-002:block:definition,type_specific_block_ref,maps_observation_to_safe_expression,SEM-V4_2-CONTENT-METHOD-002:block:differentiation_mechanism,body_block_ref,general_knowledge 条目使用 definition 判断后才引用,process_scene_or_object_reference_type,creative_content_operating,definition,anchor_object -> anchor_action,design_hint_not_ontology_edge
RDH-SEM-V4_2-CONTENT-METHOD-002-02,SEM-V4_2-CONTENT-METHOD-002,SEM-V4_2-CONTENT-METHOD-002:block:differentiation_mechanism,type_specific_block_ref,downgrades_result_claim,SEM-V4_2-CONTENT-METHOD-002:block:applicable_conditions,body_block_ref,general_knowledge 条目使用 differentiation_mechanism 判断后才引用,organization_role_action_reference_type,creative_content_operating,differentiation_mechanism,anchor_action -> visible_cue,design_hint_not_ontology_edge
RDH-SEM-V4_2-CONTENT-METHOD-002-03,SEM-V4_2-CONTENT-METHOD-002,SEM-V4_2-CONTENT-METHOD-002:block:applicable_conditions,type_specific_block_ref,maps_claim_strength_to_evidence,SEM-V4_2-CONTENT-METHOD-002:block:not_applicable_conditions,body_block_ref,general_knowledge 条目使用 applicable_conditions 判断后才引用,method_or_choice_explainer_type,creative_content_operating,applicable_conditions,constraint -> tradeoff_expression,design_hint_not_ontology_edge
RDH-SEM-V4_2-CONTENT-METHOD-002-04,SEM-V4_2-CONTENT-METHOD-002,SEM-V4_2-CONTENT-METHOD-002:block:not_applicable_conditions,type_specific_block_ref,routes_unverified_performance,SEM-V4_2-CONTENT-METHOD-002:block:positive_example_minimum,body_block_ref,general_knowledge 条目使用 not_applicable_conditions 判断后才引用,process_scene_or_object_reference_type,creative_content_operating,not_applicable_conditions,process_node -> narrative_sceneability,design_hint_not_ontology_edge
RDH-SEM-V4_2-APPAREL-CLAIM-BOUNDARY-001-01,SEM-V4_2-APPAREL-CLAIM-BOUNDARY-001,SEM-V4_2-APPAREL-CLAIM-BOUNDARY-001:block:claim_type_ladder,type_specific_block_ref,maps_zone_to_shot_task,SEM-V4_2-APPAREL-CLAIM-BOUNDARY-001:block:allowed_expression_examples,body_block_ref,claim_boundary 条目使用 claim_type_ladder 判断后才引用,claim_policy_reference,apparel_claim_boundary,claim_type_ladder,承接 RS02-CL02 与 RS02-CL03,design_hint_not_ontology_edge
RDH-SEM-V4_2-APPAREL-CLAIM-BOUNDARY-001-02,SEM-V4_2-APPAREL-CLAIM-BOUNDARY-001,SEM-V4_2-APPAREL-CLAIM-BOUNDARY-001:block:allowed_expression_examples,type_specific_block_ref,binds_frame_to_visual_focus,SEM-V4_2-APPAREL-CLAIM-BOUNDARY-001:block:restricted_expression_examples,body_block_ref,claim_boundary 条目使用 allowed_expression_examples 判断后才引用,sensitive_claim_boundary_reference,apparel_claim_boundary,allowed_expression_examples,连接 RS03-CL03 场景化观察方法,design_hint_not_ontology_edge
RDH-SEM-V4_2-APPAREL-CLAIM-BOUNDARY-001-03,SEM-V4_2-APPAREL-CLAIM-BOUNDARY-001,SEM-V4_2-APPAREL-CLAIM-BOUNDARY-001:block:restricted_expression_examples,type_specific_block_ref,maps_action_to_explanation_slot,SEM-V4_2-APPAREL-CLAIM-BOUNDARY-001:block:prohibited_expression_examples,body_block_ref,claim_boundary 条目使用 restricted_expression_examples 判断后才引用,content_risk_reference,apparel_claim_boundary,restricted_expression_examples,向 P0-00 证据路由提供触发点但不吸收控制面内容,design_hint_not_ontology_edge
RDH-SEM-V4_2-APPAREL-CLAIM-BOUNDARY-001-04,SEM-V4_2-APPAREL-CLAIM-BOUNDARY-001,SEM-V4_2-APPAREL-CLAIM-BOUNDARY-001:block:prohibited_expression_examples,type_specific_block_ref,checks_demo_completion_state,SEM-V4_2-APPAREL-CLAIM-BOUNDARY-001:block:minimum_contrast_examples,body_block_ref,claim_boundary 条目使用 prohibited_expression_examples 判断后才引用,scene_observation_reference,apparel_claim_boundary,prohibited_expression_examples,scene cue -> non-conclusive observation,design_hint_not_ontology_edge
